"","x","y","area"
"701",7327,5401,"domain_4"
"702",8210,8071,"domain_1"
"703",3184,6779,"domain_2"
"704",4060,4829,"domain_2"
"705",5695,6487,"domain_3"
"706",7711,10237,"domain_1"
"707",7954,4895,"domain_3"
"708",5948,7208,"domain_3"
"709",9460,3882,"domain_3"
"710",4317,8438,"domain_2"
"711",7577,5112,"domain_3"
"712",4441,7355,"domain_2"
"713",7327,5546,"domain_4"
"714",8965,8792,"domain_1"
"715",7952,3596,"domain_2"
"716",4694,8798,"domain_2"
"717",6701,6774,"domain_3"
"718",4940,5189,"domain_2"
"719",7200,4463,"domain_3"
"720",6318,2948,"domain_3"
"721",9591,7708,"domain_1"
"722",8082,6266,"domain_3"
"723",6825,5835,"domain_4"
"724",9585,3521,"domain_2"
"725",10720,6623,"domain_1"
"726",7328,5979,"domain_4"
"727",6571,4392,"domain_3"
"728",7453,5906,"domain_4"
"729",2554,5698,"domain_2"
"730",7204,7062,"domain_3"
"731",4691,6921,"domain_2"
"732",4942,6632,"domain_3"
"733",7460,10093,"domain_1"
"734",4697,10531,"domain_2"
"735",8336,7999,"domain_1"
"736",4318,9449,"domain_2"
"737",6067,3093,"domain_3"
"738",5438,2733,"domain_3"
"739",2927,3459,"domain_5"
"740",9711,4170,"domain_2"
"741",9092,9586,"domain_1"
"742",8711,7348,"domain_1"
"743",10219,7201,"domain_1"
"744",3813,7717,"domain_2"
"745",7838,10887,"domain_1"
"746",9713,5470,"domain_2"
"747",3806,3386,"domain_2"
"748",5449,9808,"domain_2"
"749",10218,6624,"domain_1"
"750",9465,7491,"domain_1"
"751",5070,8004,"domain_2"
"752",3686,6634,"domain_2"
"753",5066,5694,"domain_2"
"754",5576,10313,"domain_1"
"755",4564,5839,"domain_2"
"756",5564,2805,"domain_3"
"757",3812,6706,"domain_2"
"758",8330,4678,"domain_3"
"759",9714,5614,"domain_2"
"760",7835,8866,"domain_1"
"761",4939,5044,"domain_2"
"762",3811,6418,"domain_2"
"763",7328,6123,"domain_4"
"764",4308,2952,"domain_2"
"765",9207,3305,"domain_3"
"766",5192,5766,"domain_2"
"767",4943,7210,"domain_2"
"768",2304,6276,"domain_2"
"769",7207,9083,"domain_1"
"770",5698,7931,"domain_3"
"771",4191,8510,"domain_2"
"772",6200,7641,"domain_3"
"773",7836,10021,"domain_1"
"774",4436,4612,"domain_2"
"775",9341,7997,"domain_1"
"776",8453,3017,"domain_3"
"777",6325,7280,"domain_3"
"778",4191,8222,"domain_2"
"779",5194,6921,"domain_3"
"780",9836,3809,"domain_2"
"781",5941,3166,"domain_3"
"782",9461,4748,"domain_2"
"783",7458,9083,"domain_1"
"784",9837,4242,"domain_2"
"785",7457,8650,"domain_1"
"786",5828,10601,"domain_1"
"787",10093,7129,"domain_1"
"788",10345,7707,"domain_1"
"789",4057,2808,"domain_2"
"790",7576,4101,"domain_3"
"791",4691,6633,"domain_2"
"792",7707,7639,"domain_1"
"793",2430,6781,"domain_2"
"794",3683,4613,"domain_2"
"795",3806,3097,"domain_2"
"796",6068,3526,"domain_3"
"797",9965,5902,"domain_2"
"798",7203,6773,"domain_3"
"799",4182,2591,"domain_2"
"800",4566,7283,"domain_2"
"801",4693,8221,"domain_2"
"802",3561,7284,"domain_2"
"803",3187,8801,"domain_2"
"804",8088,10309,"domain_1"
"805",6823,4680,"domain_3"
"806",4061,5695,"domain_2"
"807",4570,9737,"domain_2"
"808",4947,10097,"domain_2"
"809",4187,6056,"domain_2"
"810",6451,7641,"domain_3"
"811",4065,8150,"domain_2"
"812",5953,10818,"domain_1"
"813",10469,6624,"domain_1"
"814",2681,6925,"domain_2"
"815",10087,3376,"domain_2"
"816",4439,6344,"domain_2"
"817",9210,5182,"domain_2"
"818",9092,9730,"domain_1"
"819",8837,7420,"domain_1"
"820",4319,9593,"domain_2"
"821",5190,4322,"domain_3"
"822",7580,6845,"domain_3"
"823",9468,8935,"domain_1"
"824",5064,4250,"domain_3"
"825",4689,5333,"domain_2"
"826",3054,4253,"domain_5"
"827",6320,4392,"domain_4"
"828",7083,10455,"domain_1"
"829",3183,6202,"domain_2"
"830",5695,6054,"domain_3"
"831",3305,4108,"domain_5"
"832",8328,3090,"domain_3"
"833",5952,9663,"domain_1"
"834",10214,4314,"domain_2"
"835",9844,8574,"domain_1"
"836",8213,9659,"domain_1"
"837",6196,5620,"domain_3"
"838",8590,9875,"domain_1"
"839",3308,6274,"domain_2"
"840",4936,2734,"domain_2"
"841",6203,9951,"domain_1"
"842",3689,8656,"domain_2"
"843",10720,6334,"domain_2"
"844",3560,6274,"domain_2"
"845",5568,5260,"domain_3"
"846",5702,10529,"domain_1"
"847",3563,8150,"domain_2"
"848",8708,5038,"domain_2"
"849",8456,4750,"domain_3"
"850",9081,2511,"domain_2"
"851",6829,8578,"domain_2"
"852",4190,7644,"domain_2"
"853",6317,2515,"domain_3"
"854",10596,7562,"domain_1"
"855",7704,5906,"domain_3"
"856",5568,5404,"domain_3"
"857",3185,7935,"domain_2"
"858",7460,10527,"domain_1"
"859",8833,4677,"domain_3"
"860",7325,4246,"domain_3"
"861",7454,6340,"domain_3"
"862",3436,7357,"domain_2"
"863",9469,9946,"domain_1"
"864",4313,6128,"domain_2"
"865",4061,5262,"domain_2"
"866",3688,8222,"domain_2"
"867",4061,5840,"domain_2"
"868",9212,6481,"domain_1"
"869",2930,5480,"domain_2"
"870",7582,7855,"domain_1"
"871",7458,8938,"domain_1"
