"","x","y","area"
"826",19238,16252,"domain_3"
"827",19993,14365,"domain_3"
"828",22503,5076,"domain_5"
"829",17975,15529,"domain_3"
"830",12664,9299,"other"
"831",4846,13808,"domain_2"
"832",6107,13081,"domain_2"
"833",23009,6236,"domain_3"
"834",7635,21783,"domain_2"
"835",18478,14367,"other"
"836",13190,22935,"domain_4"
"837",4102,22369,"domain_2"
"838",13937,16405,"domain_4"
"839",17964,8275,"domain_1"
"840",9394,16993,"domain_2"
"841",12155,6688,"domain_4"
"842",17724,16255,"domain_1"
"843",15708,18579,"domain_1"
"844",19740,14220,"domain_3"
"845",18740,20315,"domain_1"
"846",9137,13946,"domain_2"
"847",6100,8728,"domain_2"
"848",11398,6544,"domain_4"
"849",10911,18441,"domain_2"
"850",12163,11621,"domain_6"
"851",10397,12059,"domain_4"
"852",10659,18587,"domain_2"
"853",4090,14825,"domain_2"
"854",19495,19298,"domain_3"
"855",22023,21616,"domain_3"
"856",8370,7129,"domain_4"
"857",7864,6550,"domain_2"
"858",5108,20046,"domain_2"
"859",14685,9876,"domain_4"
"860",10155,19168,"domain_2"
"861",9140,15397,"domain_2"
"862",10905,14379,"domain_2"
"863",5605,14822,"domain_2"
"864",14185,13358,"domain_1"
"865",13438,19888,"domain_4"
"866",18479,14948,"domain_3"
"867",17470,15820,"other"
"868",20504,18717,"domain_3"
"869",16192,5231,"domain_1"
"870",19497,20749,"domain_3"
"871",19728,6677,"domain_5"
"872",13186,20324,"domain_4"
"873",13440,21049,"domain_4"
"874",4598,16565,"domain_2"
"875",8638,17719,"domain_2"
"876",12671,13941,"domain_6"
